2017-09-26 11:46:12,127 | camera:244 | INFO | Camera simulate initialized
2017-09-26 11:46:12,158 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-26 11:46:12,173 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-26 11:46:12,174 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-26 11:46:28,568 | __init__:183 | DEBUG | Calling CoUnititialize()
2017-09-26 11:46:28,569 | __init__:193 | DEBUG | CoUnititialize() done.
2017-09-26 11:46:28,569 | camera:310 | INFO | Connection to camera simulate released
2017-09-26 11:58:46,740 | camera:244 | INFO | Camera simulate initialized
2017-09-26 11:58:46,776 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-26 11:58:46,789 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-26 11:58:46,789 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-26 11:59:08,322 | __init__:183 | DEBUG | Calling CoUnititialize()
2017-09-26 11:59:08,323 | __init__:193 | DEBUG | CoUnititialize() done.
2017-09-26 11:59:08,323 | camera:310 | INFO | Connection to camera simulate released
2017-09-26 11:59:11,138 | camera:244 | INFO | Camera simulate initialized
2017-09-26 11:59:11,171 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-26 11:59:11,184 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-26 11:59:11,184 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-26 12:01:26,220 | __init__:183 | DEBUG | Calling CoUnititialize()
2017-09-26 12:01:26,220 | __init__:193 | DEBUG | CoUnititialize() done.
2017-09-26 12:01:26,220 | camera:310 | INFO | Connection to camera simulate released
2017-09-26 12:05:30,892 | camera:244 | INFO | Camera simulate initialized
2017-09-26 12:05:30,926 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-26 12:05:30,938 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-26 12:05:30,940 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-26 12:05:38,694 | __init__:183 | DEBUG | Calling CoUnititialize()
2017-09-26 12:05:38,696 | __init__:193 | DEBUG | CoUnititialize() done.
2017-09-26 12:05:38,696 | camera:310 | INFO | Connection to camera simulate released
2017-09-26 13:06:15,933 | camera:244 | INFO | Camera simulate initialized
2017-09-26 13:06:15,970 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-26 13:06:15,983 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-26 13:06:15,983 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-26 13:06:32,783 | __init__:183 | DEBUG | Calling CoUnititialize()
2017-09-26 13:06:32,785 | __init__:193 | DEBUG | CoUnititialize() done.
2017-09-26 13:06:32,785 | camera:310 | INFO | Connection to camera simulate released
2017-09-26 13:07:49,645 | camera:244 | INFO | Camera simulate initialized
2017-09-26 13:07:49,678 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-26 13:07:49,693 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-26 13:07:49,693 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-26 13:10:15,019 | camera:244 | INFO | Camera simulate initialized
2017-09-26 13:10:15,055 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-26 13:10:15,069 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-26 13:10:15,071 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-26 13:10:32,618 | __init__:183 | DEBUG | Calling CoUnititialize()
2017-09-26 13:10:32,619 | __init__:193 | DEBUG | CoUnititialize() done.
2017-09-26 13:10:32,619 | camera:310 | INFO | Connection to camera simulate released
2017-09-26 13:11:46,296 | camera:246 | INFO | Camera simulate initialized
2017-09-26 13:11:46,332 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-26 13:11:46,345 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-26 13:11:46,346 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-26 13:11:46,346 | __init__:155 | DEBUG | CoInitializeEx(None, 0)
2017-09-26 13:11:46,348 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-26 13:11:46,348 | _generate:100 | DEBUG | GetModule((('{CE70FCE4-26D9-4BAB-9626-EC88DB7F6A0A}', 3, 0),))
2017-09-26 13:11:46,385 | __init__:171 | DEBUG | CoUninitialize()
2017-09-26 13:11:54,354 | __init__:183 | DEBUG | Calling CoUnititialize()
2017-09-26 13:11:54,355 | __init__:193 | DEBUG | CoUnititialize() done.
2017-09-26 13:11:54,355 | camera:312 | INFO | Connection to camera simulate released
2017-09-26 13:11:57,844 | __init__:183 | DEBUG | Calling CoUnititialize()
2017-09-26 13:11:57,845 | __init__:193 | DEBUG | CoUnititialize() done.
2017-09-26 13:11:57,845 | camera:310 | INFO | Connection to camera simulate released
2017-09-26 14:03:00,194 | camera:246 | INFO | Camera simulate initialized
2017-09-26 14:03:00,230 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-26 14:03:00,243 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
