field,end
autotask,true
keepautotasks,false
lambda,false
aperpixel,false
geometry,false
detector,false
noiseparameters,false
phi,false
omega,false
delta,false
pixelsize,false
bin,false
reflectionsize,false
dstarmax,false
dstarmaxps,false
dstarmin,false
centerradius,false
beamstop,optional
badpixels,true
avoidicerings,false
icerings,true
peaksearchmode,false
center,false
centermode,false
i/sigma,false
mask,true
moreaveprofiles,false
peakprofileparams,false
peakprofilesectors,false
background,false
backgroundmethod,false
peakanalysis,false
minclusterpoints,false
indexingmode,false
indexingparameters,false
maxindex,false
cellrefinemode,false
cellrefineparameters,false
referencecell,false
intensitymethod,false
adjustreflbox,false
resshellfraction,false
saturationlimit,false
skipsaturated,false
minrotaxisdist,false
minreflpartiality,false
rcshape,false
integrationmode,false
integrationparams,false
intkinematical,false
intdynamical,false
dynamicalscales,false
dynamicalerrormodel,false
errormodel,false
outliers,false
refinecamelparams,false
orientationparams,false
simulationpower,false
interpolationparams,false
distcenterasoffset,false
distortunits,false
distortions,true
distortionskeys,true
mapformat,false
reconstruction,true
reconstructionparams,false
removebackground,false
serialed,false
virtualframes,false
cifentries,true
imagelist,true
celllist,true
cellitem,true
